Key,Text
law.286.description,"The road is 2 columns narrower, but during the first two enemy responses no enemy can move or capture."
law.287.name,FAST FEET
law.287.description,"Each guard has one Dash, but cannot be selected twice in a row."
law.288.name,HEAVY STEPS
law.288.description,"Guards move only orthogonally, but the team ignores the first capture it suffers."
law.289.name,MINEFIELD
law.289.description,"10 blocked squares, but also 10 cyan safe squares."
law.290.name,LEAP AND DANGER
law.290.description,"Each guard has a two-square leap, but long-range enemies gain one square of range."
law.291.name,CLEAR AND CRUEL
law.291.description,"Shows enemy range as a number, but generates 25% more enemies."
law.292.name,GATE DAY
law.292.description,"The checkpoint requires a diagonal entry, but Rooks have a maximum range of two."
law.293.name,GUARDED GATE
law.293.description,"The checkpoint is three squares wide, but Bishops have a maximum range of two."
law.294.name,ROYAL ROAD
law.294.description,The road is wide and straight; Rooks and Bishops gain +1 range.
law.295.name,BROKEN ROAD
law.295.description,"Two abrupt center shifts, but 25% fewer enemies."
law.296.name,HUNTING PARTY
law.296.description,"Enemies chase the nearest guard, but move only on alternating turns."
law.297.name,LAST STAND
law.297.description,"With only one guard remaining, you gain a double move, but enemies have +1 range."
law.298.name,FOUR UNDER COVER
law.298.description,"While all four guards are alive, long-range enemies lose one square of range."
law.299.name,NO ESCAPE
law.299.description,A 3-square checkpoint and no backward movement.
law.300.name,KING FOR A DAY
law.300.description,"Each guard has a two-square leap, but cannot capture with a diagonal move."
menu.subtitle,"ONE BOARD, ONE ROAD, FOUR GUARDS"
options.placeholder,Options will be available in the next revision.
law.choose,CHOOSE THE LAW
move.invalid,Move not allowed.
promotion.title,CHOOSE PROMOTION
help.title,HELP
help.body,"Drag a guard onto a highlighted square. White moves first; after every move, the enemy responds. Reach the top row with at least one guard. In the boss battle, capture the queen."
result.victory,VICTORY
result.victory.body,The queen has been captured.
result.clear,LEVEL CLEARED
result.clear.body,One or more guards have reached the castle.
result.defeat,DEFEAT
result.defeat.body,All guards have been captured.
result.stalemate,STALEMATE
result.stalemate.body,No guard has an available move.
exit.confirm,ARE YOU SURE YOU WANT TO LEAVE THE KINGDOM?
exit.yes,"Yes, exit!"
exit.no,"No, back to the game!"
mode.endless.locked,"Endless Mode is unlocked only after successfully completing
Campaign Mode!"
level.start,Start the game!
level.howto,How to play?
rules.fileMissing,Rules file not found.
back.menu,Go back
options.audio,Audio
options.video,Video
options.language.title,Language
options.language.italian,Italiano
options.default,Default
options.crt,CRT Effect
options.curvature,Screen curvature
options.blur,Blur
options.blur.narrow,NARROW
options.blur.medium,MEDIUM
options.blur.wide,WIDE
options.intensity,Intensity
options.font,Font
extra.lawbook,Legislation
lawbook.title,Legislation
pause.resume,Resume game
pause.mainmenu,Return to main menu
law.999.name,UNTIL THE VERY LAST MOVE!
law.999.description,"After every full turn, the Royal Guard and the enemy Queen are transformed into a random chess piece."
options.scanlines,Scanlines
pause.exit.title,Leave the game?
pause.exit.warning,"Do you really want to leave the game?
The game will not be saved."
pause.exit.yes,"Yes, end the game!"
pause.exit.no,"No, continue playing!"
gameover.title,Game Over
gameover.retry,Would you like to try again?
endless.unlocked.notice,You unlocked Endless Mode
options.language.english,English
law.runtime.guard,Guard #{0}
law.runtime.charges,Charges: {0}
law.runtime.protection,Protection: {0}
law.runtime.pair,Pair: #{0} + #{1}
law.runtime.leapAvailable,Leap available
law.runtime.mobileType,Mobile type: {0}
law.runtime.willAct,Will act: {0}
law.runtime.rowsToGate,Rows to gate: {0}
law.runtime.threats,Guard #{0} · Threats: {1}
law.runtime.freeCaptures,Free captures: {0}
options.gameplay,Gameplay
options.chessboardSize,Chessboard size
options.chessboard.default,Default
options.chessboard.big,Big
options.chessboard.veryBig,Very Big
