ID,LAW,Name,Category,Effect,Min Level,Max Level,Range,Impact,Implementation
165,LAW #165,PIAZZE APERTE,Road generation,Genera 2 allargamenti temporanei della strada.,3,17,3-17,Bonus,road.plazaCount=2
166,LAW #166,LONG PLAZA,Road generation,Una sezione centrale diventa molto larga per 4 righe.,5,12,5-12,Bonus,road.longPlazaRows=4
167,LAW #167,SCALINATA,Road generation,La strada si sposta lateralmente di una colonna a intervalli regolari.,4,18,4-18,Misto,road.pattern=Staircase
168,LAW #168,CURVA A S,Road generation,Forza una grande curva a S nel livello.,5,19,5-19,Misto,road.pattern=SCurve
169,LAW #169,C CURVE,Road generation,Forza una grande curva in una sola direzione e ritorno finale.,4,12,4-12,Misto,road.pattern=CCurve
170,LAW #170,CENTRO SPEZZATO,Road generation,La linea centrale della strada cambia improvvisamente una volta.,6,20,6-20,Malus,road.centerJumpCount=1
171,LAW #171,TWO BREAKS,Road generation,La linea centrale cambia improvvisamente due volte.,9,18,9-18,Malus,road.centerJumpCount=2
172,LAW #172,CALM FIRST HALF,Road generation,"Prima metà quasi rettilinea, seconda metà generata normalmente.",2,7,2-7,Bonus,road.firstHalfTurnMultiplier=0.25
173,LAW #173,CALM SECOND HALF,Road generation,Seconda metà quasi rettilinea.,2,9,2-9,Bonus,road.secondHalfTurnMultiplier=0.25
174,LAW #174,CHAOTIC SECOND HALF,Road generation,Dopo metà livello aumenta molto la frequenza delle curve.,7,16,7-16,Malus,road.secondHalfTurnMultiplier=2
175,LAW #175,ROYAL AVENUE,Road generation,"Strada larga e relativamente dritta, ma con +25% nemici.",8,18,8-18,Misto,road.preset=RoyalAvenue
176,LAW #176,USCITA IN DIAGONALE,Tiles & checkpoint,Le guardie possono entrare nel checkpoint soltanto con una mossa diagonale.,2,16,2-16,Malus,checkpoint.entryAxis=Diagonal
177,LAW #177,NARROW CHECKPOINT,Tiles & checkpoint,Solo le 3 caselle centrali del reticolo sono valide per il passaggio.,4,11,4-11,Malus,checkpoint.validWidth=3
178,LAW #178,VARCO UNICO,Tiles & checkpoint,"Una sola casella del reticolo, indicata in ciano, consente il passaggio.",8,20,8-20,Malus,checkpoint.validWidth=1
179,LAW #179,VARCO MOBILE,Tiles & checkpoint,La casella valida del checkpoint si sposta di una colonna ogni 2 turni.,10,20,10-20,Malus,checkpoint.movingGateInterval=2
180,LAW #180,SAFE ROW,Tiles & checkpoint,La riga immediatamente prima del checkpoint non può essere attaccata.,2,7,2-7,Bonus,checkpoint.safeApproachRows=1
181,LAW #181,DANGEROUS ROW,Tiles & checkpoint,La riga immediatamente prima del checkpoint aumenta di 1 la portata dei nemici che la minacciano.,7,16,7-16,Malus,checkpoint.approachEnemyRangeDelta=+1
182,LAW #182,ARRIVO PRECISO,Tiles & checkpoint,"Per essere considerata passata, una guardia deve terminare una mossa sul reticolo, non semplicemente oltrepassarlo.",3,17,3-17,Malus,checkpoint.requireLanding=true
183,LAW #183,USCITA ORTOGONALE,Tiles & checkpoint,Le guardie possono entrare nel checkpoint soltanto con una mossa ortogonale.,2,8,2-8,Malus,checkpoint.entryAxis=Orthogonal
184,LAW #184,LOCKED UNTIL FIVE,Tiles & checkpoint,Il checkpoint diventa valido solo dopo il turno 5.,4,11,4-11,Malus,checkpoint.unlockTurn=5
185,LAW #185,LOCKED UNTIL EIGHT,Tiles & checkpoint,Il checkpoint diventa valido solo dopo il turno 8.,8,16,8-16,Malus,checkpoint.unlockTurn=8
186,LAW #186,VARCO BIANCO,Tiles & checkpoint,Sono valide per l'uscita soltanto le caselle bianche dell'ultima riga.,3,9,3-9,Malus,checkpoint.allowedBaseColor=White
187,LAW #187,CASELLE SICURE,Tiles & checkpoint,15 caselle ciano casuali proteggono dalle catture le guardie che le occupano.,2,16,2-16,Bonus,tiles.safeTileCount=15
188,LAW #188,TWO SAFE TILES,Tiles & checkpoint,Due caselle ciano casuali sono immuni agli attacchi.,5,12,5-12,Bonus,tiles.safeTileCount=2
189,LAW #189,BLOCCHI MAGENTA,Tiles & checkpoint,Genera 10 caselle viola invalicabili sulla strada.,4,18,4-18,Malus,tiles.blockedCount=10
190,LAW #190,PURPLE FIELD,Tiles & checkpoint,Genera 4 caselle viola invalicabili.,8,17,8-17,Malus,tiles.blockedCount=4
191,LAW #191,BLOCCO EVANESCENTE,Tiles & checkpoint,Quindici blocchi sono presenti all’inizio; uno viene rimosso ogni quattro mosse del giocatore.,6,20,6-20,Misto,tiles.blockedCount=15;tiles.blockDecayInterval=4
192,LAW #192,RISING BLOCK,Tiles & checkpoint,Ogni 5 turni una casella libera davanti alle guardie diventa bloccata.,10,20,10-20,Malus,tiles.addBlockEvery=5
193,LAW #193,CASELLA A SENSO UNICO,Tiles & checkpoint,Una casella marcata può essere attraversata solo in direzione avanti.,5,19,5-19,Misto,tiles.oneWayCount=1
194,LAW #194,TWO WAY TILES,Tiles & checkpoint,Due caselle marcate possono essere attraversate solo ortogonalmente.,6,14,6-14,Misto,tiles.orthogonalOnlyCount=2
195,LAW #195,DIAGONAL TILES,Tiles & checkpoint,Due caselle marcate possono essere raggiunte solo con movimento diagonale.,6,14,6-14,Misto,tiles.diagonalOnlyCount=2
196,LAW #196,REST TILE,Tiles & checkpoint,La prima guardia che termina su una casella ciano non provoca risposta nemica.,4,11,4-11,Bonus,tiles.freeMoveTileCount=1
197,LAW #197,ALARM TILE,Tiles & checkpoint,La prima guardia che termina su una casella viola provoca una risposta nemica extra.,7,16,7-16,Malus,tiles.alarmTileCount=1
198,LAW #198,IMPRONTE DI CAVALLI,Tiles & checkpoint,"Tutte le caselle che sono state occupate da un cavallo, diventeranno inaccessibili quando quest'ultimo si muoverà da esse.",8,20,8-20,Malus,enemy.knightTrailBlocks=true
199,LAW #199,CASELLA DEL BALZO,Tiles & checkpoint,La prima guardia che raggiunge una casella ciano marcata ottiene un balzo di due caselle su percorso libero.,5,13,5-13,Bonus,tiles.grantDashCount=1
200,LAW #200,VARCO ALTERNATO,Tiles & checkpoint,Le caselle valide del checkpoint alternano attivo/inattivo a ogni turno.,10,20,10-20,Malus,checkpoint.alternateCells=true
201,LAW #201,VISTA DEL CAVALLO,Visibility & information,Al passaggio del mouse su un Cavallo nemico vengono mostrate le sue destinazioni legali.,2,8,2-8,Bonus,ui.hoverMovesType=Knight
202,LAW #202,VISTA DELLA TORRE,Visibility & information,Al passaggio del mouse su una Torre nemica vengono mostrate le sue destinazioni legali.,4,11,4-11,Bonus,ui.hoverMovesType=Rook
203,LAW #203,VISTA DELL'ALFIERE,Visibility & information,Al passaggio del mouse su un Alfiere nemico vengono mostrate le sue destinazioni legali.,7,15,7-15,Bonus,ui.hoverMovesType=Bishop
204,LAW #204,PEDONI PRUDENTI,Visibility & information,I Pedoni nemici non possono catturare nella prima risposta nemica.,5,13,5-13,Bonus,enemy.pawn.openingCaptureDelay=1
205,LAW #205,PORTATE SCRITTE,Visibility & information,Ogni nemico a lunga gittata mostra accanto al pezzo la propria portata massima.,2,9,2-9,Bonus,ui.showEnemyRangeNumbers=true
206,LAW #206,SCELTA ANNUNCIATA,Visibility & information,"All'inizio del turno bianco viene indicato il nemico più vicino a una guardia, che agirà se avrà una mossa legale.",5,19,5-19,Misto,enemy.actorMode=AnnouncedNearest
207,LAW #207,DOVE SONO I MIEI OCCHIALI?,Visibility & information,"I nemici lontani appaiono come simboli ""?"" finché non sono entro 4 righe.",4,18,4-18,Malus,enemy.revealTypeDistance=4
208,LAW #208,LATE IDENTITY,Visibility & information,Il tipo del nemico viene rivelato solo entro 2 righe.,8,16,8-16,Malus,enemy.revealTypeDistance=2
209,LAW #209,PORTATA VISIBILE,Visibility & information,"Quando selezioni un nemico, mostra la sua portata massima con un bordo sottile.",2,16,2-16,Bonus,ui.enemyRangeOnSelect=true
210,LAW #210,PASSO SOTTO GLI OCCHI,Visibility & information,La casella di partenza di ogni nemico resta marcata per tutto il livello.,3,10,3-10,Bonus,ui.markEnemyStartTiles=true
211,LAW #211,INDIZIO DI MOSSA,Visibility & information,Una volta ogni 5 turni evidenzia per un istante una mossa legale casuale.,2,16,2-16,Bonus,ui.hintInterval=5
212,LAW #212,RALLENTARE,Enemy range & attacks,Le Torri e gli Alfieri possono muoversi solo fino a una distanza massima di 5 caselle.,2,16,2-16,Bonus,enemy.rook.maxRange=5;enemy.bishop.maxRange=5
213,LAW #213,CONTA CATTURE,Visibility & information,Accanto a ogni guardia viene mostrato il numero delle sue catture nel livello.,2,8,2-8,Bonus,ui.showGuardCaptureCounts=true
214,LAW #214,CONTA MOSSE,Visibility & information,Accanto a ogni guardia viene mostrato il numero delle sue mosse nel livello.,3,10,3-10,Bonus,ui.showGuardMoveCounts=true
215,LAW #215,ULTIMO CACCIATORE,Visibility & information,Il nemico che ha effettuato l'ultima cattura resta contrassegnato fino alla cattura successiva.,6,15,6-15,Bonus,ui.markLastCapturingEnemy=true
216,LAW #216,ADAGIO ADAGIO,Enemy range & attacks,Le Torri e gli Alfieri possono muoversi solo fino a una distanza massima di 2 caselle.,2,16,2-16,Bonus,enemy.rook.maxRange=2;enemy.bishop.maxRange=2
217,LAW #217,VARCO NERO,Visibility & information,Sono valide per l'uscita soltanto le caselle nere dell'ultima riga.,5,13,5-13,Malus,checkpoint.allowedBaseColor=Black
218,LAW #218,CONTA NEMICI,Visibility & information,Mostra nell'HUD il numero dei nemici attualmente presenti sulla scacchiera.,2,9,2-9,Bonus,ui.showBoardEnemyCount=true
219,LAW #219,TIPI IN CAMPO,Visibility & information,Mostra nell'HUD quanti nemici restano per ciascun tipo di pezzo.,3,10,3-10,Bonus,ui.showEnemyTypeCounts=true
220,LAW #220,REGISTRO CATTURE,Visibility & information,Mostra nell'HUD i pezzi nemici catturati durante il livello.,2,9,2-9,Bonus,ui.showCapturedEnemyTypes=true
221,LAW #221,GUARDIA PIÙ ESPOSTA,Visibility & information,Indica la guardia attiva minacciata dal maggior numero di nemici.,5,19,5-19,Bonus,ui.markMostThreatenedGuard=true
222,LAW #222,LAST MOVE TRACE,Visibility & information,Mostra per un turno la casella precedente della guardia appena mossa.,2,8,2-8,Bonus,ui.showLastMoveTrace=true
223,LAW #223,ENEMY TRACE,Visibility & information,Mostra per un turno la casella da cui si è mosso ogni nemico.,2,10,2-10,Bonus,ui.showEnemyMoveTrace=true
224,LAW #224,FRENATA,Enemy range & attacks,Le Torri e gli Alfieri possono muoversi solo fino a una distanza massima di 1 casella.,8,20,8-20,Bonus,enemy.rook.maxRange=1;enemy.bishop.maxRange=1
225,LAW #225,ROYAL MEMORY,Visibility & information,Le caselle già visitate dalle guardie restano marcate con un piccolo punto ciano.,3,12,3-12,Bonus,ui.markVisitedTiles=true
226,LAW #226,CATTURA LIBERA,Capture & occupancy,La prima cattura del livello non provoca risposta nemica.,2,16,2-16,Bonus,capture.freeResponses=1
227,LAW #227,TWO FREE CAPTURES,Capture & occupancy,Le prime due catture non provocano risposta nemica.,5,12,5-12,Bonus,capture.freeResponses=2
228,LAW #228,CATTURA RUMOROSA,Capture & occupancy,Ogni cattura provoca una risposta nemica extra.,7,20,7-20,Malus,capture.extraEnemyResponse=1
229,LAW #229,NESSUNA CATTURA,Capture & occupancy,Le guardie non possono catturare; devono evitare tutti i nemici.,3,17,3-17,Malus,guard.canCapture=false
230,LAW #230,KNIGHTS ONLY,Capture & occupancy,Le guardie possono catturare soltanto Cavalli.,3,10,3-10,Misto,capture.allowedEnemyTypes=Knight
231,LAW #231,BISHOPS ONLY,Capture & occupancy,Le guardie possono catturare soltanto Alfieri.,4,11,4-11,Misto,capture.allowedEnemyTypes=Bishop
232,LAW #232,ROOKS ONLY,Capture & occupancy,Le guardie possono catturare soltanto Torri.,4,11,4-11,Misto,capture.allowedEnemyTypes=Rook
233,LAW #233,FIRST BLOOD,Capture & occupancy,Dopo la prima cattura tutte le guardie ottengono una mossa libera senza risposta nemica.,5,13,5-13,Bonus,capture.teamFreeMoveAfterFirst=true
234,LAW #234,PAUSA DI CATTURA,Capture & occupancy,Una guardia che cattura non può catturare nuovamente per 2 suoi movimenti.,5,19,5-19,Malus,capture.guardCooldownMoves=2
235,LAW #235,NO ADJACENT CAPTURE,Capture & occupancy,Non puoi catturare un nemico se un altro nemico occupa una casella adiacente al bersaglio.,6,14,6-14,Malus,capture.blockIfEnemyAdjacent=true
236,LAW #236,CATENA DI CATTURE,Capture & occupancy,"Se una guardia cattura e può catturare di nuovo da lì, può farlo immediatamente una volta.",9,20,9-20,Bonus,capture.chainMax=2
237,LAW #237,CENTER CAPTURE,Capture & occupancy,Le catture sono consentite solo nelle 3 colonne centrali della strada.,6,14,6-14,Malus,capture.centerColumnsOnly=3
238,LAW #238,EDGE CAPTURE,Capture & occupancy,Le catture sono consentite solo sulle caselle di bordo della strada.,7,15,7-15,Malus,capture.edgeOnly=true
239,LAW #239,PREDA MARCATA,Capture & occupancy,Un nemico casuale vale come bersaglio marcato: catturarlo congela i nemici per un turno.,5,19,5-19,Bonus,capture.markedPreyFreeze=1
240,LAW #240,PREDA VIETATA,Capture & occupancy,Un nemico casuale non può essere catturato.,4,18,4-18,Malus,capture.invulnerableEnemyCount=1
241,LAW #241,TWO FORBIDDEN PREY,Capture & occupancy,Due nemici casuali non possono essere catturati.,8,17,8-17,Malus,capture.invulnerableEnemyCount=2
242,LAW #242,ROOK TROPHY,Capture & occupancy,Catturare una Torre concede un Royal Dash.,5,14,5-14,Bonus,capture.rookReward=Dash
243,LAW #243,BISHOP TROPHY,Capture & occupancy,Catturare un Alfiere annulla la prossima risposta nemica.,5,14,5-14,Bonus,capture.bishopReward=SkipResponse
244,LAW #244,TROFEO DEL CAVALLO,Capture & occupancy,Catturare un Cavallo concede alla guardia uno scudo contro una cattura.,4,13,4-13,Bonus,capture.knightReward=Shield
245,LAW #245,CASELLA ABBANDONATA,Capture & occupancy,"Dopo una cattura, la casella di origine della guardia diventa bloccata per 2 turni.",6,20,6-20,Malus,capture.originBlockedTurns=2
246,LAW #246,PURPLE CORPSE,Capture & occupancy,La casella di un nemico catturato resta bloccata per 1 turno dopo che la guardia la lascia.,7,16,7-16,Malus,capture.destinationResidueTurns=1
247,LAW #247,TERRENO RIPULITO,Capture & occupancy,Dopo una cattura vengono rimossi i blocchi adiacenti alla destinazione della guardia.,2,10,2-10,Misto,tiles.blockedCount=2;capture.clearAdjacentBlocks=true
248,LAW #248,BALZO IN COMPAGNIA,Capture & occupancy,Ogni guardia può muovere una volta di due caselle saltando soltanto un'eventuale guardia intermedia.,5,13,5-13,Bonus,guard.personalDashCharges=1;guard.longMoveIgnoresFriendly=true
249,LAW #249,PASSAGGIO STRETTO,Capture & occupancy,Le guardie non possono muovere in diagonale se entrambe le caselle ortogonali laterali sono occupate.,3,17,3-17,Malus,guard.blockSqueezedDiagonal=true
250,LAW #250,PREZZO DEL RE,Capture & occupancy,La prima cattura di ogni guardia è gratuita; le successive provocano una risposta nemica extra.,10,20,10-20,Misto,capture.firstPerGuardFreeThenExtra=true
251,LAW #251,QUATTRO PASSI,Level tempo & progression,Ogni quarta mossa della squadra può coprire due caselle ortogonali lungo un percorso libero.,2,16,2-16,Bonus,guard.teamOrthogonalDashEvery=4
252,LAW #252,QUINTO PASSO OBLIQUO,Level tempo & progression,Ogni quinta mossa della squadra deve essere diagonale.,3,17,3-17,Malus,guard.forceDiagonalEvery=5
253,LAW #253,SESTO PASSO DRITTO,Level tempo & progression,Ogni sesta mossa della squadra deve essere ortogonale.,8,18,8-18,Malus,guard.forceOrthogonalEvery=6
254,LAW #254,ALBA TRANQUILLA,Level tempo & progression,Per le prime due risposte i nemici possono muovere ma non catturare.,2,7,2-7,Bonus,enemy.openingCaptureDelay=2
255,LAW #255,TRAMONTO STRETTO,Level tempo & progression,"Dopo la decima mossa del giocatore, i nemici a lunga gittata guadagnano una mossa extra.",7,20,7-20,Malus,enemy.rangedExtraActionAfterTurn=10
256,LAW #256,EARLY PRESSURE,Level tempo & progression,La densità nemica è maggiore nella prima metà e normale nella seconda.,4,12,4-12,Malus,spawn.firstHalfMultiplier=1.4
257,LAW #257,LATE PRESSURE,Level tempo & progression,"Prima metà più tranquilla, seconda metà con densità nemica maggiore.",5,13,5-13,Malus,spawn.secondHalfMultiplier=1.4
258,LAW #258,EVEN PRESSURE,Level tempo & progression,Distribuzione dei nemici più uniforme del normale.,2,8,2-8,Misto,spawn.varianceMultiplier=0.5
259,LAW #259,WAVE ONE,Level tempo & progression,I nemici vengono concentrati in una grande fascia centrale.,4,11,4-11,Misto,spawn.waveCount=1
260,LAW #260,DUE ONDATE,Level tempo & progression,I nemici vengono concentrati in due fasce separate.,6,20,6-20,Malus,spawn.waveCount=2
261,LAW #261,THREE WAVES,Level tempo & progression,Tre fasce di pressione nemica lungo il livello.,10,20,10-20,Malus,spawn.waveCount=3
262,LAW #262,EMPTY MIDDLE,Level tempo & progression,La zona centrale del livello contiene pochissimi nemici.,2,9,2-9,Bonus,spawn.middleMultiplier=0.25
263,LAW #263,EMPTY END,Level tempo & progression,L’ultimo quarto della strada viene generato con pochissimi nemici.,3,10,3-10,Bonus,spawn.lastQuarterMultiplier=0.25
264,LAW #264,DENSE END,Level tempo & progression,Ultimo quarto con densità nemica +50%.,7,16,7-16,Malus,spawn.lastQuarterMultiplier=1.5
265,LAW #265,SOGLIA IN COMPAGNIA,Level tempo & progression,"Finché restano almeno due guardie attive, si può entrare nel checkpoint solo partendo accanto a un'altra guardia attiva.",4,18,4-18,Malus,checkpoint.requireAdjacentAllyUnlessLast=true
266,LAW #266,RITIRATA SICURA,Level tempo & progression,La prima mossa verso il basso di ogni guardia non provoca risposta nemica.,2,20,2-20,Bonus,guard.firstBackwardFree=true
267,LAW #267,CALMA ALL'USCITA,Level tempo & progression,"Ogni guardia arrivata al checkpoint annulla la risposta nemica successiva, se il livello continua.",3,17,3-17,Bonus,checkpoint.skipResponseOnCross=1
268,LAW #268,EVERY CROSS ALARM,Level tempo & progression,"Ogni guardia arrivata al checkpoint concede una mossa nemica aggiuntiva, se il livello continua.",8,18,8-18,Malus,checkpoint.enemyActivationOnCross=true
269,LAW #269,HALFWAY CALM,Level tempo & progression,"Raggiunto il 50% del livello, salta una risposta nemica.",3,10,3-10,Bonus,level.skipResponseAtProgress=0.5
270,LAW #270,HALFWAY ALARM,Level tempo & progression,"La prima volta che una guardia raggiunge metà altezza del percorso, il nemico riceve una mossa aggiuntiva.",7,16,7-16,Malus,level.extraActivationAtProgress=0.5
271,LAW #271,THREE QUARTER CALM,Level tempo & progression,Al 75% del percorso i nemici restano fermi per una risposta.,5,13,5-13,Bonus,level.skipResponseAtProgress=0.75
272,LAW #272,THREE QUARTER ALARM,Level tempo & progression,Al 75% del percorso si verifica un'attivazione nemica extra.,9,18,9-18,Malus,level.extraActivationAtProgress=0.75
273,LAW #273,LAST TWO SAFE,Level tempo & progression,"Quando restano solo 2 guardie attive, la portata nemica diminuisce di 1.",7,17,7-17,Bonus,enemy.rangeDeltaWhenActiveGuardsLTE2=-1
274,LAW #274,LAST TWO HUNTED,Level tempo & progression,"Quando restano solo 2 guardie attive, la portata nemica aumenta di 1.",10,20,10-20,Malus,enemy.rangeDeltaWhenActiveGuardsLTE2=+1
275,LAW #275,ULTIMO TERZO,Level tempo & progression,L’ultimo terzo della strada viene generato più stretto di una colonna e con soli nemici iniziali.,9,20,9-20,Misto,level.finalThirdPreset=NarrowNoExtraSpawn
276,LAW #276,PICCOLA GRAZIA,Combined laws,"Strada -1 colonna, ma il primo colpo alla squadra viene ignorato.",3,17,3-17,Misto,combo=RoadMinus1+TeamShield1
277,LAW #277,OPEN HUNT,Combined laws,"Strada +2 colonne, ma +25% nemici.",4,11,4-11,Misto,combo=RoadPlus2+EnemyCount125
278,LAW #278,SHORT BLADES,Combined laws,"Portata di Torri e Alfieri -1, ma strada -1 colonna.",3,10,3-10,Misto,combo=RangeMinus1+RoadMinus1
279,LAW #279,LONG BLADES,Combined laws,"Portata di Torri e Alfieri +1, ma strada +2 colonne.",7,16,7-16,Misto,combo=RangePlus1+RoadPlus2
280,LAW #280,CURVE SILENZIOSE,Combined laws,"Strada più tortuosa, ma i nemici rispondono solo ogni 2 mosse.",4,18,4-18,Misto,combo=Winding+ResponseEvery2
281,LAW #281,LOUD AVENUE,Combined laws,"Strada quasi dritta, ma ogni quinto turno c'è una risposta nemica extra.",6,14,6-14,Misto,combo=Straight+ExtraEvery5
282,LAW #282,KNIGHT FEST,Combined laws,"Solo Cavalli, ma si muovono a turni alterni.",4,11,4-11,Misto,combo=OnlyKnights+KnightMove2
283,LAW #283,BISHOP FEST,Combined laws,"Solo Alfieri, con portata massima 3.",5,12,5-12,Misto,combo=OnlyBishops+BishopRange3
284,LAW #284,ROOK FEST,Combined laws,"Solo Torri, con portata massima 3.",5,12,5-12,Misto,combo=OnlyRooks+RookRange3
285,LAW #285,WIDE DANGER,Combined laws,Strada +3 colonne e nemici a gittata +1.,8,17,8-17,Misto,combo=RoadPlus3+RangePlus1
286,LAW #286,TIGHT CALM,Combined laws,"Strada più stretta di due colonne, ma nelle prime due risposte nessun nemico può muovere o catturare.",5,13,5-13,Misto,road.widthDelta=-2;enemy.moveDelayTurns=2
287,LAW #287,PIEDI VELOCI,Combined laws,"Ogni guardia ha un Dash, ma non può essere scelta due volte di fila.",6,20,6-20,Misto,combo=PersonalDash1+NoRepeat
288,LAW #288,PASSI PESANTI,Combined laws,"Le guardie muovono solo ortogonalmente, ma la squadra ignora la prima cattura subita.",2,9,2-9,Misto,guard.allowDiagonal=false;team.shieldCharges=1
289,LAW #289,CAMPO MINATO,Combined laws,"10 caselle bloccate, ma 10 caselle sicure ciano.",5,19,5-19,Misto,tiles.blockedCount=10;tiles.safeTileCount=10
290,LAW #290,BALZO E PERICOLO,Combined laws,"Ogni guardia ha un balzo di due caselle, ma i nemici a lunga gittata guadagnano una casella di portata.",6,14,6-14,Misto,guard.personalDashCharges=1;enemy.rangedMaxRangeDelta=1
291,LAW #291,CHIARO E CRUDELE,Combined laws,"Mostra la portata scritta dei nemici, ma ne genera il 25% in più.",6,14,6-14,Misto,ui.showEnemyRangeNumbers=true;spawn.countMultiplier=1.25
292,LAW #292,GIORNO DEL VARCO,Combined laws,"Il checkpoint richiede ingresso diagonale, ma le Torri hanno portata massima due.",5,13,5-13,Misto,checkpoint.entryAxis=Diagonal;enemy.rook.maxRange=2
293,LAW #293,VARCO SORVEGLIATO,Combined laws,"Il checkpoint è largo tre caselle, ma gli Alfieri hanno portata massima due.",4,11,4-11,Misto,checkpoint.validWidth=3;enemy.bishop.maxRange=2
294,LAW #294,ROYAL ROAD,Combined laws,Strada larga e dritta; Torri e Alfieri hanno portata +1.,10,20,10-20,Misto,combo=WideStraight+RangePlus1
295,LAW #295,BROKEN ROAD,Combined laws,"Due bruschi cambi di centro, ma -25% nemici.",7,16,7-16,Misto,combo=CenterBreak2+EnemyCount075
296,LAW #296,BATTUTA DI CACCIA,Combined laws,"Nemici inseguono la guardia più vicina, ma si muovono solo a turni alterni.",8,20,8-20,Misto,combo=ChaseNearest+MoveEvery2
297,LAW #297,LAST STAND,Combined laws,"Con una sola guardia ottieni doppia mossa, ma i nemici hanno portata +1.",10,20,10-20,Misto,combo=LastGuardDouble+RangePlus1
298,LAW #298,QUATTRO AL RIPARO,Combined laws,"Finché tutte e quattro le guardie sono vive, i nemici a lunga gittata perdono una casella di portata.",2,9,2-9,Bonus,enemy.rangeDeltaWhile4Alive=-1
299,LAW #299,NO ESCAPE,Combined laws,Checkpoint di 3 caselle e nessun movimento all'indietro.,8,17,8-17,Malus,combo=Checkpoint3+NoRetreat
300,LAW #300,RE PER UN GIORNO,Combined laws,"Ogni guardia ha un balzo di due caselle, ma non può catturare con una mossa diagonale.",12,20,12-20,Misto,guard.personalDashCharges=1;guard.allowDiagonalCapture=false
